score_v2,listing_id,title,state,industry,asking_price,cash_flow_sde,gross_revenue,sde_multiple,sde_margin,employees,location,flags_v2,url
27,2484055,Commercial Cleaning Service,ohio,cleaning,,135000,,,,,"Hamilton County, OH",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/commercial-cleaning-service/2484055/
27,2473435,Commercial power washing with reoccurring revenue!,ohio,cleaning,,262600,,,,,"Cleveland, OH",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/commercial-power-washing-with-reoccurring-revenue/2473435/
27,2404458,Established Flooring and Upholstery Cleaning Opportunity For Sale,ohio,cleaning,,81360,,,,,"Guernsey County, OH",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/established-flooring-and-upholstery-cleaning-opportunity-for-sale/2404458/
27,2412873,Profitable Residential Cleaning Service,ohio,cleaning,,92000,,,,,"Summit County, OH",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-residential-cleaning-service/2412873/
27,2366500,"Established Cleaning Company Butler, Hamilton, and Cincinnati",ohio,cleaning,,60000,,,,,"Butler County, OH",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/established-cleaning-company-butler-hamilton-and-cincinnati/2366500/
27,2356641,"Low investment, Passive, with reoccurring revenue: Dog Waste Pick Up",ohio,cleaning,,148500,,,,,"Columbus, OH",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/low-investment-passive-with-reoccurring-revenue-dog-waste-pick-up/2356641/
27,2485830,Recession-Resilient Biohazard Cleanup Company with Proven Systems,virginia,cleaning,,279724,,,,,"Woodbridge, VA",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/recession-resilient-biohazard-cleanup-company-with-proven-systems/2485830/
27,2488834,Commercial power washing with reoccurring revenue!,virginia,cleaning,,265000,,,,,"Virginia Beach, VA",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/commercial-power-washing-with-reoccurring-revenue/2488834/
27,2478909,Veteran junk removal/ dumpster/ demolition business for sale,virginia,cleaning,,110710,,,,,"Chesapeake, VA",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/veteran-junk-removal-dumpster-demolition-business-for-sale/2478909/
27,2473258,Thriving Multi-Service Cleaning Company with Tech-Driven Operations,virginia,cleaning,,291745,,,,,"Woodbridge, VA",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/thriving-multi-service-cleaning-company-with-tech-driven-operations/2473258/
27,2471713,Established Exterior Wash Fleet with Strong Profit Margins,virginia,cleaning,,319830,,,,,"Virginia Beach, VA",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/established-exterior-wash-fleet-with-strong-profit-margins/2471713/
27,2226278,Chimney Sweep in Eastern Virginia,virginia,cleaning,,116891,,,,,"Williamsburg County, VA",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/chimney-sweep-in-eastern-virginia/2226278/
27,2476403,42 Year Old Plumbing Contractor For Sale,florida,plumbing,,66583,,,,,"Palm Beach County, FL",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/42-year-old-plumbing-contractor-for-sale/2476403/
27,2487755,Contractor Pools SE FL,florida,plumbing,,587969,,,,,"Palm Beach County, FL",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/contractor-pools-se-fl/2487755/
27,2488667,Contractor: Solar-Electric-Plumbing-Pool,florida,plumbing,,319701,,,,,"Sarasota County, FL",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/contractor-solar-electric-plumbing-pool/2488667/
27,2437641,Unlock a High-Value Commercial Plumbing Contracting Opportunity,florida,plumbing,,369159,,,,,"Orange County, FL",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/unlock-a-high-value-commercial-plumbing-contracting-opportunity/2437641/
27,2467067,Turn-Key Oxi Fresh Carpet Cleaning Franchise,florida,cleaning,,,,,,,"Wesley Chapel, FL",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/turn-key-oxi-fresh-carpet-cleaning-franchise/2467067/
27,2495404,Profitable Residential Cleaning Business – Loyal Clientele,florida,cleaning,,133327,,,,,"Seminole County, FL",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-residential-cleaning-business-loyal-clientele/2495404/
27,2477934,Profitable South Florida Grill Cleaning Business – 800+ Clients,florida,cleaning,,50000,,,,,"Miami-Dade County, FL",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-south-florida-grill-cleaning-business-800-clients/2477934/
27,2484511,National Facilities Services Franchise -South Florida,florida,cleaning,,,,,,,,no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/national-facilities-services-franchise-south-florida/2484511/
27,2476369,Top Restoration Franchise | Multiple Revenue streams | $1M+,florida,cleaning,,262000,,,,,"Winter Garden, FL",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/top-restoration-franchise-multiple-revenue-streams-1m/2476369/
27,2316880,Well Established Commercial janitorial business,florida,cleaning,,90000,,,,,,no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/well-established-commercial-janitorial-business/2316880/
27,2491650,New Construction Cleaning Services,florida,cleaning,,220740,,,,,"Davenport, FL",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/new-construction-cleaning-services/2491650/
27,2468089,For Sale: Andy's Awning Cleaning,florida,cleaning,,86477,,,,,"Broward County, FL",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/for-sale-andys-awning-cleaning/2468089/
27,2436684,Chimney & Fireplace Enterprise,florida,cleaning,,365107,,,,,,no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/chimney-and-fireplace-enterprise/2436684/
27,2477263,Cleaning Business For Sale - Commercial & Residentail Mix,florida,cleaning,,,,,,,"Ormond Beach, FL",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/cleaning-business-for-sale-commercial-and-residentail-mix/2477263/
27,2485256,High Rise Window Cleaning Business,florida,cleaning,,244149,,,,,"Daytona Beach, FL",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/high-rise-window-cleaning-business/2485256/
27,2458496,Established Residential & Commercial Cleaning Franchise - For Myers,florida,cleaning,,,,,,,"Fort Myers, FL",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/established-residential-and-commercial-cleaning-franchise-for-myers/2458496/
27,2479842,"#1 Growth U.S. commercial cleaning, Florida",florida,cleaning,,,,,,,"Ocala, FL",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/1-growth-u-s-commercial-cleaning-florida/2479842/
27,2451088,20 Years Est-Highly Profitable Commercial Pressure Cleaning Business,florida,cleaning,,200000,,,,,,no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/20-years-est-highly-profitable-commercial-pressure-cleaning-business/2451088/
27,2422434,"Well-Established Cleaning Service for Sale – Pinellas County, FL",florida,cleaning,,,,,,," Pinellas County, FL",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/well-established-cleaning-service-for-sale-pinellas-county-fl/2422434/
27,2471811,Profitable Pressure Washing & Window Cleaning Business,florida,cleaning,,93246,,,,,"Naples, FL",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-pressure-washing-and-window-cleaning-business/2471811/
27,2411543,"Profitable, Established Cleaning Buisness for Sale (Sale pending)",florida,cleaning,,190000,,,,,"Palm Harbor, FL",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-established-cleaning-buisness-for-sale-sale-pending/2411543/
27,2277278,Commercial Specialty Cleaning Business for the Hospitality Industry,florida,cleaning,,,,,,,"Sarasota County, FL",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/commercial-specialty-cleaning-business-for-the-hospitality-industry/2277278/
27,2414735,Profitable Soft Washing Company – Gainesville/Alachua Area,florida,cleaning,,165166,,,,,"Alachua County, FL",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-soft-washing-company-gainesville-alachua-area/2414735/
27,2357168,Residential Cleaning Biz $123K/Yr Net,florida,cleaning,,123727,,,,,"Hillsborough County, FL",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/residential-cleaning-biz-123k-yr-net/2357168/
27,2396067,Reoccurring Revenue Cleaning Business with Loyal Clients,florida,cleaning,,63912,,,,,"St Lucie County, FL",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/reoccurring-revenue-cleaning-business-with-loyal-clients/2396067/
27,2345261,SBA Pre-Approved | Mobile Power Washing Business – South Florida,florida,cleaning,,133883,,,,,"St Lucie County, FL",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/sba-pre-approved-mobile-power-washing-business-south-florida/2345261/
27,2310123,Cleaning Business in Osceola County,florida,cleaning,,103611,,,,,"Kissimmee, FL",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/cleaning-business-in-osceola-county/2310123/
27,2309792,Profitable Commercial Pool Service,florida,cleaning,,131064,,,,,"Palm Beach County, FL",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-commercial-pool-service/2309792/
27,2274258,Profitable And Growing Pressure Cleaning Business,florida,cleaning,,377358,,,,,"Broward County, FL",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-and-growing-pressure-cleaning-business/2274258/
27,2220324,,florida,cleaning,,,,,,,"Lee County, FL",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-asset/carpet-and-tile-cleaning-business-for-sale/2220324/
26,2462401,Established Central Texas Painting Contractor | Trained Crews,texas,building-and-construction,,365788,,,,,,no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/established-central-texas-painting-contractor-trained-crews/2462401/
26,2460728,Very Successful Pipeline/Facility Infrastructure Contractor Company,texas,building-and-construction,,,,,,,"Waxahachie, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/very-successful-pipeline-facility-infrastructure-contractor-company/2460728/
26,2483476,Trusted Electrical Contractor Offering All Services,texas,building-and-construction,,151295,,,,,"Fort Bend County, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/trusted-electrical-contractor-offering-all-services/2483476/
26,2383105,38+ year General Contracting and Remodeling Business,texas,building-and-construction,,655000,,,,,"Arlington, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/38-year-general-contracting-and-remodeling-business/2383105/
25,2487504,Flooring Biz. Desired Territory. Rising Revenue. Positive Cash Flow.,texas,building-and-construction,,,,,,,"Travis County, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/flooring-biz-desired-territory-rising-revenue-positive-cash-flow/2487504/
23,2494683,Profitable Turnkey Lawn Spraying Business.,oklahoma,service,,150000,,,,,"Moore, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-turnkey-lawn-spraying-business/2494683/
23,2489602,"Profitable, Turnkey Home Services Franchise – Industry Leader",oklahoma,service,,237612,,,,,"Tulsa, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-turnkey-home-services-franchise-industry-leader/2489602/
23,2302724,"Absentee Owner, Multi City Mobile Detailing Company",oklahoma,service,,89147,,,,,"Oklahoma County, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/absentee-owner-multi-city-mobile-detailing-company/2302724/
23,2479973,Income Producing. Flexible Operating Models. National Brand. Turnkey.,texas,service,,,,,,,"Frisco, TX",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/income-producing-flexible-operating-models-national-brand-turnkey/2479973/
21,2411968,Absentee Owned Project Management Firm in OKC,oklahoma,building-and-construction,,2380918,,,,,"Oklahoma City, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/absentee-owned-project-management-firm-in-okc/2411968/
21,2394146,Profitable Roofing Business for Sale – Turnkey Operation!,oklahoma,building-and-construction,,146556,,,,,"Tulsa County, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-roofing-business-for-sale-turnkey-operation/2394146/
21,2444492,Profitable $2.5M Turnkey Epoxy Flooring Company — 12 Years Established,texas,building-and-construction,,441000,,,,,"Tomball, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-2-5m-turnkey-epoxy-flooring-company-12-years-established/2444492/
21,2431770,Radiant Barrier Manufacturing | Turnkey Energy Insulation,texas,building-and-construction,,265000,,,,,"Arlington, TX",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/radiant-barrier-manufacturing-turnkey-energy-insulation/2431770/
20,2481861,High-Demand Heating Cooling Repair Technicians,oklahoma,hvac,,425506,,,,,"Tulsa, OK",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/high-demand-heating-cooling-repair-technicians/2481861/
20,2431469,Sold HVAC company in a fast growing community,oklahoma,hvac,,157154,,,,,"Mccurtain County, OK",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/sold-hvac-company-in-a-fast-growing-community/2431469/
20,2345652,Refrigeration Sales and Service Company,oklahoma,hvac,,415564,,,,,"Tulsa, OK",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/refrigeration-sales-and-service-company/2345652/
20,2484080,Established HVAC Biz | Strong Commercial Base | Growth Ready,texas,hvac,,174000,,,,,"Dallas, TX",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/established-hvac-biz-strong-commercial-base-growth-ready/2484080/
20,2479342,Established HVAC and Electrical Service Company Serving the Texas Hill,texas,hvac,,320000,,,,,"Llano, TX",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/established-hvac-and-electrical-service-company-serving-the-texas-hill/2479342/
20,2484901,HVAC/R Residential & Commercial Company,texas,hvac,,754102,,,,,,license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/hvac-r-residential-and-commercial-company/2484901/
20,2477729,HVAC & Electrical Business – 30 Years Strong,texas,hvac,,257819,,,,,"Collin County, TX",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/hvac-and-electrical-business-30-years-strong/2477729/
20,2415329,HVAC Franchise with Solid Commercial Base and Ripe Residential Market,texas,hvac,,,,,,,"Valley View, TX",license-risk|no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/hvac-franchise-with-solid-commercial-base-and-ripe-residential-market/2415329/
20,1927202,Profitable Dryer Vent Cleaning Business – Established & Scalable,texas,hvac,,52000,,,,,"San Antonio, TX",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-dryer-vent-cleaning-business-established-and-scalable/1927202/
20,2403916,Well-Established HVAC Firm Seeking Buyer,texas,hvac,,384568,,,,,"Kaufman County, TX",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/well-established-hvac-firm-seeking-buyer/2403916/
20,2465878,Restoration Business Opportunity with Year-Round Demand,texas,hvac,,,,,,,"Tarrant County, TX",license-risk|no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/restoration-business-opportunity-with-year-round-demand/2465878/
20,2465418,"Insurance-Driven Restoration Opportunity in Amarillo, TX",texas,hvac,,,,,,,"Insurance-Driven Restoration Opportunity in Amarillo, TX",license-risk|no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/insurance-driven-restoration-opportunity-in-amarillo-tx/2465418/
20,2446493,Diversify Revenue Streams – Existing Scalable Restoration Business,texas,hvac,,,,,,,"Travis County, TX",license-risk|no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/diversify-revenue-streams-existing-scalable-restoration-business/2446493/
20,2444057,"HVAC business for sale, with real estate $12.3M, just reduced $1.9M!",texas,hvac,,,,,,,"Houston, TX",license-risk|no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/hvac-business-for-sale-with-real-estate-12-3m-just-reduced-1-9m/2444057/
20,2477541,Commercial HVAC Filter Change-Out & Maintenance,kansas,hvac,,258708,,,,,"Olathe, KS",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/commercial-hvac-filter-change-out-and-maintenance/2477541/
20,2411075,HVAC/R & Sheet Metal,massachusetts,hvac,,225000,,,,,"Chicopee, MA",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/hvac-r-and-sheet-metal/2411075/
20,2436105,Lucrative Insulation and Hvac Division for Sale!,massachusetts,hvac,,150000,,,,,"Sterling, MA",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/lucrative-insulation-and-hvac-division-for-sale/2436105/
20,2482556,Established Residential HVAC Service & Installation Business with Sale,massachusetts,hvac,,218525,,,,,"Worcester County, MA",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/established-residential-hvac-service-and-installation-business-with-sale/2482556/
20,2481851,Thriving HVAC Maintenance & Repair Specialists,massachusetts,hvac,,452115,,,,,"Boston, MA",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/thriving-hvac-maintenance-and-repair-specialists/2481851/
20,2475133,Established Multi-Trade Services Platform,massachusetts,hvac,,1152306,,,,,"Worcester County, MA",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/established-multi-trade-services-platform/2475133/
20,2469503,Cape Cod HVAC Business – $2.5M+ Revenue – Ideal Strategic Tuck-In,massachusetts,hvac,,470000,,,,,"Barnstable County, MA",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/cape-cod-hvac-business-2-5m-revenue-ideal-strategic-tuck-in/2469503/
20,2452143,Established Mosquito & Tick Control Opportunity in RI,massachusetts,pest-control,,,,,,,"North Attleborough, MA",license-risk|no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/established-mosquito-and-tick-control-opportunity-in-ri/2452143/
20,2447521,Established Mosquito & Tick Control Opportunity in MA,massachusetts,pest-control,,,,,,,"North Attleborough, MA",license-risk|no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/established-mosquito-and-tick-control-opportunity-in-ma/2447521/
20,2359799,Profitable Glass Business Ready for Your Vision,california,hvac,,79355,,,,,"San Mateo County, CA",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-glass-business-ready-for-your-vision/2359799/
20,2491412,Niche Facilities Service and Repair Business,california,hvac,,,,,,,"Roseville, CA",license-risk|no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/niche-facilities-service-and-repair-business/2491412/
20,2384832,Appliance Repair Company,california,hvac,,393237,,,,,"Los Gatos, CA",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/appliance-repair-company/2384832/
20,2489815,"Well-Established Commercial HVACR Repair, Maintenance & Installation",california,hvac,,857000,,,,,"Riverside County, CA",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/well-established-commercial-hvacr-repair-maintenance-and-installation/2489815/
20,2396347,Established Refrigeration Service Company,california,hvac,,333916,,,,,,license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/established-refrigeration-service-company/2396347/
20,2491734,HVAC Industrial Coating Company,california,hvac,,140000,,,,,"Temecula, CA",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/hvac-industrial-coating-company/2491734/
20,2418259,Established Heating & Cooling Business – Consistent Cash Flow,california,hvac,,500000,,,,,"Pleasanton, CA",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/established-heating-and-cooling-business-consistent-cash-flow/2418259/
20,2423755,"Well-Established HVAC Business, Over 200 Maintenance Accounts",california,hvac,,124396,,,,,"Sacramento County, CA",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/well-established-hvac-business-over-200-maintenance-accounts/2423755/
20,2423504,"Thriving Plumbing, Heating & Air Conditioning Business for Sale",california,hvac,,386000,,,,,"Stanislaus County, CA",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/thriving-plumbing-heating-and-air-conditioning-business-for-sale/2423504/
20,1799819,"Plumbing,HVAC and Electrical Business",california,hvac,,200000,,,,,"Plumbing,HV",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/plumbing-hvac-and-electrical-business/1799819/
20,2489898,Well Established Plumbing & Heating Company For Sale,new-york,hvac,,,,,,,"Broome County, NY",license-risk|no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/well-established-plumbing-and-heating-company-for-sale/2489898/
20,2493454,HVAC Business On Long Island NY,new-york,hvac,,80000,,,,,"Centereach, NY",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/hvac-business-on-long-island-ny/2493454/
20,2386854,Established HVAC Company,new-york,hvac,,,,,,,,license-risk|no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/established-hvac-company/2386854/
20,2416328,HVAC/Plumbing Division of a Company for Sale,new-york,hvac,,658524,,,,,"Albany, NY",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/hvac-plumbing-division-of-a-company-for-sale/2416328/
20,2412643,Plumbing and Heating Company (#22705),new-york,hvac,,180000,,,,,"Nassau County, NY",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/plumbing-and-heating-company-22705/2412643/
20,2483012,Canada Goose Control,new-york,pest-control,,170472,,,,,"Cortland County, NY",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/canada-goose-control/2483012/
20,2447480,Leading Ohio Water & Fire Damage and Mitigation Specialist,ohio,hvac,,,,,,,"Lorain County, OH",license-risk|no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/leading-ohio-water-and-fire-damage-and-mitigation-specialist/2447480/
20,2381327,Commercial and Residential Refrigeration and HVAC Business,ohio,hvac,,250000,,,,,"Athens County, OH",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/commercial-and-residential-refrigeration-and-hvac-business/2381327/
20,2361471,Rid the Neighborhood of Pests with 24% Cash Flow Margin,ohio,pest-control,,328814,,,,,"Clermont County, OH",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/rid-the-neighborhood-of-pests-with-24-cash-flow-margin/2361471/
20,1871135,Established Florida HVAC Business for Sale | $815K+ Revenue | 18+ Year,florida,hvac,,447000,,,,,"Port St. Lucie, FL",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/established-florida-hvac-business-for-sale-815k-revenue-18-year/1871135/
20,2458852,Established Insulation Business| Scalable Model + National Brand Power,florida,hvac,,,,,,,"Fort Myers, FL",license-risk|no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/established-insulation-business-scalable-model-national-brand-power/2458852/
20,2443717,**Price Reduction** Well-Established HVAC Business for Sale,florida,hvac,,429594,,,,,"Fort Myers, FL",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/price-reduction-well-established-hvac-business-for-sale/2443717/
20,2474980,Profitable Commercial HVAC Business – Residential and Commercial,florida,hvac,,650000,,,,,"Miami Lakes, FL",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-commercial-hvac-business-residential-and-commercial/2474980/
20,2485514,Highly Specialized Company Provides Oil and Fluid Analysis,florida,hvac,,387966,,,,,"Broward County, FL",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/highly-specialized-company-provides-oil-and-fluid-analysis/2485514/
20,2488247,Established Residential HVAC Company in Sarasota/Bradenton FL,florida,hvac,,69000,,,,,"Sarasota, FL",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/established-residential-hvac-company-in-sarasota-bradenton-fl/2488247/
20,2456103,Established & Profitable HVAC Business – Miami-Dade & Broward,florida,hvac,,650000,,,,,"Hialeah, FL",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/established-and-profitable-hvac-business-miami-dade-and-broward/2456103/
20,2136889,"Successful, Fast Growing HVAC Company",florida,hvac,,600000,,,,,"Orange County, FL",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/successful-fast-growing-hvac-company/2136889/
20,2464819,"High Demand Restoration Business in Kissimmee, FL",florida,hvac,,,,,,,"High Demand Restoration Business in Kissimmee, FL",license-risk|no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/high-demand-restoration-business-in-kissimmee-fl/2464819/
20,2195221,Family Owned & Operated Appliance and AC Repair Business For Sale,florida,hvac,,109000,,,,,"Marion County, FL",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/family-owned-and-operated-appliance-and-ac-repair-business-for-sale/2195221/
20,2372445,HVAC - Commercial & Residential Accounts - $395K SDE,florida,hvac,,395091,,,,,"Brevard County, FL",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/hvac-commercial-and-residential-accounts-395k-sde/2372445/
20,2471958,FL Commercial Landscape Maintenance | $3M+ Revenue | Platform-Ready,florida,pest-control,,572000,,,,,"Bradenton, FL",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/fl-commercial-landscape-maintenance-3m-revenue-platform-ready/2471958/
13,2367468,Home Improvement Siding Business in Oklahoma City,oklahoma,service,,254500,,,,,"Oklahoma City, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/home-improvement-siding-business-in-oklahoma-city/2367468/
13,1953128,High Profit Window Cleaning Business for sale in OKC!,oklahoma,service,,,,,,,"Oklahoma City, OK",no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/high-profit-window-cleaning-business-for-sale-in-okc/1953128/
13,2128290,Property Management Business Opportunity,oklahoma,service,,,,,,,,no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/start-up-business/property-management-business-opportunity/2128290/
13,2457839,Existing Painting Business,oklahoma,service,,220000,,,,,"Tulsa, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/existing-painting-business/2457839/
13,2404380,Welding Supply House,oklahoma,service,,588621,,,,,,no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/welding-supply-house/2404380/
13,2403459,"The UPS Store in NW OKC | $111,750 SDE | Seller Financing",oklahoma,service,,111750,,,,,"Warr Acres, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/the-ups-store-in-nw-okc-111-750-sde-seller-financing/2403459/
13,2398887,Submersible Solutions In Oil & Gas,oklahoma,service,,2722842,,,,,,no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/submersible-solutions-in-oil-and-gas/2398887/
13,2391931,Multi-Store Office Products Company,oklahoma,service,,479562,,,,,,no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/multi-store-office-products-company/2391931/
13,2388951,Nationwide Commercial Seating & Décor Install Co.,oklahoma,service,,674389,,,,,,no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/nationwide-commercial-seating-and-decor-install-co/2388951/
13,2377925,Fence Builder-Top of the Line,oklahoma,service,,218650,,,,,,no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/fence-builder-top-of-the-line/2377925/
13,2338421,"HDPE Pipe, Fittings, Fusion, Eq. Sales/Rentals",oklahoma,service,,506881,,,,,,no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/hdpe-pipe-fittings-fusion-eq-sales-rentals/2338421/
